Time,"""0000""","""000A""","""0028""","""002A""",shiftId
1614537000000,213,106,665,221,21
1614537900000,400,305,564,480,21
1614538800000,566,351,619,183,21
1614539700000,420,192,187,357,21
1614540600000,369,460,145,107,21
1614541500000,156,281,416,123,21
1614542400000,670,330,590,304,21
1614543300000,427,428,113,309,21
1614544200000,140,286,530,164,21
1614545100000,464,111,614,403,21
1614546000000,404,257,740,104,21
1614546900000,682,358,771,471,21
1614547800000,156,524,367,153,21
1614548700000,156,580,181,378,21
1614549600000,268,124,267,212,21
1614550500000,523,247,349,254,21
1614551400000,160,184,172,274,21
1614552300000,589,443,699,376,21
1614553200000,106,480,364,231,21
1614554100000,278,447,565,315,21
1614555000000,270,243,494,152,21
1614555900000,302,156,226,113,21
1614556800000,636,304,260,474,21
1614557700000,278,255,532,346,21
1614558600000,134,297,553,367,21
1614559500000,573,170,164,421,21
1614560400000,620,282,308,337,21
1614561300000,116,480,232,179,21
1614562200000,508,265,628,324,14
1614563100000,548,575,171,360,14
1614564000000,217,222,589,329,14
1614564900000,241,470,625,372,14
1614565800000,341,345,108,282,14
1614566700000,275,330,404,340,14
1614567600000,584,379,266,334,14
1614568500000,188,357,761,493,14
1614569400000,479,510,692,114,14
1614570300000,506,337,232,221,14
1614571200000,643,429,156,327,14
1614572100000,342,264,628,103,14
1614573000000,467,274,356,221,14
1614573900000,198,587,769,221,14
1614574800000,307,339,445,131,14
1614575700000,343,221,304,239,14
1614576600000,174,485,170,387,14
1614577500000,399,158,370,414,14
1614578400000,278,397,221,425,14
1614579300000,427,546,650,371,14
1614580200000,533,389,482,380,14
1614581100000,417,303,262,223,14
1614582000000,489,125,562,389,14
1614582900000,601,441,292,282,14
1614583800000,675,226,137,101,14
1614584700000,374,358,326,115,14
1614585600000,524,366,328,203,14
1614586500000,354,550,461,225,14
1614587400000,190,599,493,277,14
1614588300000,256,256,112,481,14
1614589200000,492,248,420,184,14
1614590100000,416,226,517,383,14
1614591000000,205,362,547,296,15
1614591900000,544,375,524,314,15
1614592800000,262,315,731,372,15
1614593700000,235,268,619,218,15
1614594600000,550,298,359,193,15
1614595500000,525,462,212,292,15
1614596400000,366,552,668,362,15
1614597300000,505,364,698,324,15
1614598200000,557,306,508,175,15
1614599100000,603,414,354,447,15
1614600000000,656,556,778,378,15
1614600900000,226,499,262,167,15
1614601800000,166,372,717,300,15
1614602700000,487,131,639,223,15
1614603600000,624,120,222,197,15
1614604500000,602,579,114,326,15
1614605400000,438,567,129,490,15
1614606300000,172,214,128,351,15
1614607200000,493,456,278,113,15
1614608100000,471,516,692,227,15
1614609000000,181,316,254,296,15
1614609900000,402,251,544,295,15
1614610800000,357,318,172,152,15
1614611700000,381,521,222,373,15
1614612600000,391,193,445,216,15
1614613500000,516,438,409,309,15
1614614400000,692,286,345,124,15
1614615300000,593,372,714,464,15
1614616200000,603,496,269,339,15
1614617100000,594,291,727,284,15
1614618000000,320,440,155,334,15
1614618900000,526,378,439,427,15
1614619800000,650,336,703,150,21
1614620700000,380,194,116,392,21
1614621600000,545,188,205,320,21
1614622500000,536,324,571,120,21
1614623400000,342,521,306,478,21
1614624300000,690,534,775,118,21
1614625200000,143,500,513,255,21
1614626100000,338,111,404,355,21
1614627000000,351,440,742,180,21
1614627900000,411,177,407,306,21
1614628800000,117,276,495,379,21
1614629700000,356,379,435,191,21
1614630600000,403,247,261,186,21
1614631500000,190,529,580,372,21
1614632400000,512,138,413,287,21
1614633300000,315,319,318,348,21
1614634200000,496,556,738,274,21
1614635100000,503,437,335,140,21
1614636000000,394,351,419,257,21
1614636900000,167,471,487,492,21
1614637800000,613,408,569,400,21
1614638700000,409,174,637,458,21
1614639600000,689,156,361,424,21
1614640500000,659,220,755,237,21
1614641400000,460,282,423,365,21
1614642300000,303,271,377,410,21
1614643200000,583,252,698,399,21
1614644100000,228,259,466,428,21
1614645000000,110,361,460,442,21
1614645900000,544,423,407,128,21
1614646800000,386,174,669,336,21
1614647700000,546,268,546,121,21
1614648600000,656,333,585,328,14
1614649500000,470,245,539,202,14
1614650400000,356,327,375,443,14
1614651300000,587,552,789,268,14
1614652200000,382,470,593,263,14
1614653100000,509,111,364,270,14
1614654000000,588,416,111,332,14
1614654900000,544,390,445,282,14
1614655800000,541,222,534,472,14
1614656700000,470,333,742,224,14
1614657600000,455,528,113,430,14
1614658500000,273,357,354,114,14
1614659400000,647,102,268,372,14
1614660300000,317,419,710,196,14
1614661200000,327,114,356,415,14
1614662100000,380,344,666,410,14
1614663000000,378,582,654,113,14
1614663900000,140,185,668,347,14
1614664800000,434,128,761,113,14
1614665700000,239,555,117,172,14
1614666600000,592,265,409,268,14
1614667500000,204,443,271,246,14
1614668400000,204,550,762,238,14
1614669300000,456,208,692,117,14
1614670200000,151,100,220,268,14
1614671100000,189,525,504,451,14
1614672000000,158,578,682,366,14
1614672900000,455,200,536,322,14
1614673800000,260,349,418,177,14
1614674700000,314,407,465,478,14
1614675600000,665,205,358,369,14
1614676500000,516,493,663,370,14
1614677400000,420,592,298,428,14
1614678300000,452,161,434,170,15
1614679200000,257,465,282,287,15
1614680100000,142,445,600,189,15
1614681000000,685,509,115,482,15
1614681900000,524,495,343,265,15
1614682800000,418,553,698,444,15
1614683700000,263,376,139,194,15
1614684600000,335,180,515,249,15
1614685500000,692,136,331,344,15
1614686400000,316,120,397,413,15
1614687300000,578,584,525,112,15
1614688200000,471,167,445,453,15
1614689100000,425,300,210,396,15
1614690000000,415,459,486,224,15
1614690900000,128,569,538,312,15
1614691800000,597,116,203,130,15
1614692700000,361,493,306,156,15
1614693600000,230,332,150,422,15
1614694500000,224,235,430,221,15
1614695400000,339,140,160,289,15
1614696300000,653,409,517,462,15
1614697200000,167,220,180,360,15
1614698100000,384,295,745,451,15
1614699000000,564,220,424,302,15
1614699900000,298,163,741,383,15
1614700800000,499,196,603,148,15
1614701700000,231,137,590,399,15
1614702600000,607,391,379,447,15
1614703500000,165,109,226,361,15
1614704400000,224,222,470,443,15
1614705300000,414,411,600,368,15
1614706200000,320,443,564,402,15
1614707100000,687,267,354,130,4
1614708000000,393,509,268,366,4
1614708900000,166,205,308,372,4
1614709800000,250,479,522,455,5
1614710700000,584,325,415,295,5
1614711600000,380,429,588,304,5
1614712500000,168,363,773,251,5
1614713400000,647,140,554,315,5
1614714300000,227,153,397,234,5
1614715200000,296,444,261,445,5
