Time,"""0000""","""000A""","""0028""","""002A""",shiftId
1614537000000,189,239,784,467,21
1614537900000,101,400,554,421,21
1614538800000,279,314,609,324,21
1614539700000,477,596,475,187,21
1614540600000,696,578,125,215,21
1614541500000,198,481,144,195,21
1614542400000,636,251,335,143,21
1614543300000,416,264,276,444,21
1614544200000,189,460,436,393,21
1614545100000,119,517,727,319,21
1614546000000,604,318,421,152,21
1614546900000,529,290,250,215,21
1614547800000,171,105,602,312,21
1614548700000,126,381,682,311,21
1614549600000,101,166,128,400,21
1614550500000,127,442,178,465,21
1614551400000,628,316,235,486,21
1614552300000,136,275,249,158,21
1614553200000,193,133,624,184,21
1614554100000,506,251,357,231,21
1614555000000,488,160,663,211,21
1614555900000,432,455,284,333,21
1614556800000,462,155,468,421,21
1614557700000,203,237,487,461,21
1614558600000,396,164,597,368,21
1614559500000,552,526,678,279,21
1614560400000,652,301,660,132,21
1614561300000,600,331,518,411,21
1614562200000,287,256,143,447,14
1614563100000,271,545,206,385,14
1614564000000,256,180,696,467,14
1614564900000,550,224,292,433,14
1614565800000,474,204,205,413,14
1614566700000,559,195,256,426,14
1614567600000,575,488,697,445,14
1614568500000,142,427,434,129,14
1614569400000,540,319,409,383,14
1614570300000,622,269,170,286,14
1614571200000,522,411,134,231,14
1614572100000,105,241,643,489,14
1614573000000,544,145,130,338,14
1614573900000,333,218,674,356,14
1614574800000,298,180,535,130,14
1614575700000,129,450,636,192,14
1614576600000,632,416,153,461,14
1614577500000,541,519,316,207,14
1614578400000,622,484,584,312,14
1614579300000,641,420,587,309,14
1614580200000,557,502,412,294,14
1614581100000,367,599,701,141,14
1614582000000,209,514,793,266,14
1614582900000,493,414,718,356,14
1614583800000,609,113,478,136,14
1614584700000,178,582,523,220,14
1614585600000,226,394,589,173,14
1614586500000,505,334,387,337,14
1614587400000,651,510,325,455,14
1614588300000,354,595,497,170,14
1614589200000,391,222,755,418,14
1614590100000,523,151,535,165,14
1614591000000,567,455,341,327,15
1614591900000,329,387,602,358,15
1614592800000,236,506,387,211,15
1614593700000,522,283,715,250,15
1614594600000,616,174,217,311,15
1614595500000,624,523,500,453,15
1614596400000,434,208,613,356,15
1614597300000,640,152,188,275,15
1614598200000,193,571,583,343,15
1614599100000,354,376,680,359,15
1614600000000,268,187,725,323,15
1614600900000,441,191,612,340,15
1614601800000,107,433,722,458,15
1614602700000,128,198,480,425,15
1614603600000,585,248,368,269,15
1614604500000,119,532,175,284,15
1614605400000,257,406,427,138,15
1614606300000,429,500,334,330,15
1614607200000,478,578,453,170,15
1614608100000,331,136,538,190,15
1614609000000,219,453,746,490,15
1614609900000,574,491,182,450,15
1614610800000,654,312,314,284,15
1614611700000,361,118,318,258,15
1614612600000,651,578,455,245,15
1614613500000,362,342,725,293,15
1614614400000,540,470,596,346,15
1614615300000,329,502,680,259,15
1614616200000,392,547,534,190,15
1614617100000,508,509,130,223,15
1614618000000,264,520,292,478,15
1614618900000,516,170,269,365,15
1614619800000,382,357,161,219,21
1614620700000,351,364,588,243,21
1614621600000,581,323,198,441,21
1614622500000,539,256,150,354,21
1614623400000,284,217,709,420,21
1614624300000,356,408,515,475,21
1614625200000,462,206,527,195,21
1614626100000,451,217,190,195,21
1614627000000,115,271,571,377,21
1614627900000,694,277,107,298,21
1614628800000,450,404,740,408,21
1614629700000,476,355,547,208,21
1614630600000,588,328,779,111,21
1614631500000,404,328,251,376,21
1614632400000,663,132,530,266,21
1614633300000,280,522,203,198,21
1614634200000,661,340,749,439,21
1614635100000,446,536,765,155,21
1614636000000,357,544,233,432,21
1614636900000,470,267,600,166,21
1614637800000,394,392,629,159,21
1614638700000,132,449,417,238,21
1614639600000,559,300,284,117,21
1614640500000,632,173,723,405,21
1614641400000,418,428,769,270,21
1614642300000,437,466,462,242,21
1614643200000,443,531,795,491,21
1614644100000,203,130,785,356,21
1614645000000,107,494,787,209,21
1614645900000,104,175,161,320,21
1614646800000,376,408,196,196,21
1614647700000,674,302,157,461,21
1614648600000,166,224,668,321,14
1614649500000,423,507,717,173,14
1614650400000,515,115,285,424,14
1614651300000,420,528,412,370,14
1614652200000,317,332,756,352,14
1614653100000,398,448,489,128,14
1614654000000,671,423,536,480,14
1614654900000,482,419,491,149,14
1614655800000,205,353,272,169,14
1614656700000,599,582,736,100,14
1614657600000,520,155,229,100,14
1614658500000,563,391,499,244,14
1614659400000,206,388,333,111,14
1614660300000,393,175,522,225,14
1614661200000,488,281,336,290,14
1614662100000,569,383,432,428,14
1614663000000,647,101,595,359,14
1614663900000,263,598,763,170,14
1614664800000,577,374,615,481,14
1614665700000,177,527,507,334,14
1614666600000,326,219,393,338,14
1614667500000,506,293,232,125,14
1614668400000,465,212,678,218,14
1614669300000,348,489,647,148,14
1614670200000,657,277,515,344,14
1614671100000,219,568,703,471,14
1614672000000,554,245,457,385,14
1614672900000,456,271,158,496,14
1614673800000,104,376,356,399,14
1614674700000,471,448,554,308,14
1614675600000,684,191,447,132,14
1614676500000,365,184,763,490,14
1614677400000,244,185,624,127,15
1614678300000,545,351,315,292,15
1614679200000,398,511,646,159,15
1614680100000,537,268,728,165,15
1614681000000,318,448,720,268,15
1614681900000,180,310,168,314,15
1614682800000,475,510,667,498,15
1614683700000,465,407,745,286,15
1614684600000,405,239,257,403,15
1614685500000,292,533,291,277,15
1614686400000,613,313,663,241,15
1614687300000,553,371,209,132,15
1614688200000,303,229,177,318,15
1614689100000,669,503,162,148,15
1614690000000,172,476,604,190,15
1614690900000,515,558,350,257,15
1614691800000,412,191,290,395,15
1614692700000,358,415,700,275,15
1614693600000,486,460,379,226,15
1614694500000,624,168,557,426,15
1614695400000,129,517,607,413,15
1614696300000,442,162,466,192,15
1614697200000,615,244,349,415,15
1614698100000,678,580,158,130,15
1614699000000,656,484,514,201,15
1614699900000,485,141,306,495,15
1614700800000,673,311,622,433,15
1614701700000,611,142,400,283,15
1614702600000,507,523,328,295,15
1614703500000,371,125,658,396,15
1614704400000,403,258,778,321,15
