1,2,3,4,5,company_meter_id,time
337,208,241,71,351,3,1613548800
205,409,59,273,159,3,1613549100
274,467,297,201,31,3,1613549400
164,179,209,174,256,3,1613549700
274,177,119,289,157,3,1613550000
153,430,187,183,117,3,1613550300
187,495,258,296,344,3,1613550600
352,223,289,334,358,3,1613550900
82,260,72,103,380,3,1613551200
297,128,194,57,226,3,1613551500
179,281,295,300,370,3,1613551800
258,342,70,351,233,3,1613552100
379,479,107,52,46,3,1613552400
131,442,149,78,120,3,1613552700
195,254,293,359,126,3,1613553000
126,223,222,398,41,3,1613553300
130,253,206,111,90,3,1613553600
392,387,105,207,210,3,1613553900
327,153,63,308,96,3,1613554200
73,365,237,38,388,3,1613554500
76,207,84,125,279,3,1613554800
129,489,118,400,131,3,1613555100
199,478,287,285,220,3,1613555400
248,234,242,327,50,3,1613555700
59,318,50,326,145,3,1613556000
117,448,66,321,379,3,1613556300
313,497,93,390,241,3,1613556600
387,366,98,161,169,3,1613556900
174,131,182,313,41,3,1613557200
98,469,259,54,330,3,1613557500
277,321,265,127,83,3,1613557800
97,117,186,102,182,3,1613558100
302,346,121,278,149,3,1613558400
269,123,192,223,348,3,1613558700
332,309,248,395,319,3,1613559000
354,147,58,380,327,3,1613559300
146,500,280,374,173,3,1613559600
326,148,65,388,264,3,1613559900
210,258,90,122,272,3,1613560200
350,180,74,253,361,3,1613560500
182,400,274,383,280,3,1613560800
141,124,77,348,22,3,1613561100
78,372,74,339,234,3,1613561400
283,255,205,393,170,3,1613561700
179,480,153,375,316,3,1613562000
357,463,88,103,209,3,1613562300
111,470,176,115,261,3,1613562600
391,312,215,350,334,3,1613562900
343,103,177,144,60,3,1613563200
136,172,277,253,86,3,1613563500
239,357,130,350,293,3,1613563800
326,103,90,207,129,3,1613564100
369,122,91,178,93,3,1613564400
116,105,253,155,351,3,1613564700
370,108,146,220,264,3,1613565000
289,417,188,260,113,3,1613565300
354,314,278,44,91,3,1613565600
153,336,261,76,308,3,1613565900
391,380,213,122,52,3,1613566200
320,447,283,299,324,3,1613566500
150,186,277,337,320,3,1613566800
397,494,218,120,296,3,1613567100
339,399,123,220,166,3,1613567400
354,272,165,299,273,3,1613567700
237,453,63,189,133,3,1613568000
111,335,122,196,149,3,1613568300
121,419,204,246,239,3,1613568600
127,386,207,94,21,3,1613568900
102,459,285,110,316,3,1613569200
372,335,298,256,387,3,1613569500
211,243,134,98,273,3,1613569800
121,252,94,272,182,3,1613570100
394,212,266,351,318,3,1613570400
265,487,288,362,135,3,1613570700
160,302,293,65,273,3,1613571000
296,392,71,345,266,3,1613571300
288,139,97,265,66,3,1613571600
340,288,254,186,296,3,1613571900
85,305,175,125,251,3,1613572200
118,445,87,395,312,3,1613572500
69,421,189,244,184,3,1613572800
140,446,120,59,273,3,1613573100
349,304,173,184,29,3,1613573400
98,118,259,233,294,3,1613573700
233,313,124,259,74,3,1613574000
